වචනය,"සමාන පදමාලාව"
අංකුලාව.,"[නා.] අඟින් කළ කොපු විශේෂයක්; හෙප්පුව."
"අංකුශ, අංකුස, අඞ්කුශ, අඞ්කුස.","[නා.ප්‍ර.] අංකුශය, අංකුසය, අඞ්කුශය, අඞ්කුසය බ."
"අංකුශ චාරණය.","[නා.] සිවුසැට කලාවලින් එකක් වන අංකුශ භාවිතය; අලි-ඇතුන් හැසිරවීමේ ශාස්ත්‍රය."
"අංකුශ, අඞ්කුස.","1. [නා.ප්‍ර.] අලි-ඇතුන් හසුරුවන, තියුණු උලකින් හා කොක්කකින් යුතු උපකරණය; හෙණ්ඩුව; අකුස්ස. <br>2. [නා.ප්‍ර.] කෙක්ක; දෙහෙටිල්ල."
අංකුශාභය.,"(පාරිභා.) [නා.] කෙළවර කොක්කක් මෙන් නැමුණු; අස්ථිය (=unciform bone)."
අංකූඩුව.,"(කථා.) [නා.] ගෝණ, මුව ආදින්ගේ අතු වශයෙන් බෙදී ගිය අං."
අංකෙළිය.,"[නා.] පත්තිනි දේවියගේ නමින් පවත්වනු ලබන ජාතික ක්‍රීඩාවක්."
"අංකොං, අංකොන්.","(කථා) [නා.] වෙනස්කම; අනාදරය; අහිතවත් බව."
අංකොක්ක.,"[නා.] ඇඳුම් ආදිය එල්ලීම සඳහා අං, ලී ආදියකින් අඟක හැඩයට කළ කොකු විශේෂය."
"අංග, අඞ්ග","[නා.ප්‍ර.] අංගය, අඞ්ගය බ."
අංගකූට.,"[නා.ප්‍ර.] හොරට බඩු කිරීම; හොර වෙළඳාම."
අංගජ.,"[වි.] ශරීරයෙන් උපන්. <br>1. [නා.ප්‍ර.] ලේ. <br>2. [නා.ප්‍ර.] හිසකේ. <br>3. [නා.ප්‍ර.] පුත්‍රයා."
අංගජාතය.,"[නා.] ස්ත්‍රී/පුරුෂ නිමිත්ත; ලිංගය; රහසඟ."
අංගණය.,"1. [නා.] මිදුල; මළුව; එළිමහන් බිම. <br>2. (පාරිභා.) [නා.] ලයිකනයක මතුපිට රේඛාවලින් හෝ බිඳුමකින් හෝ සීමා වී තිබෙන කුඩා ඉඩ ප්‍රමාණය (=arcola). <br>3. [නා.] කිලුට; කැළල.<br>4. [නා.] පාපධර්මය."
"අංගතිලක, අඞ්ගතිලක.","[නා.ප්‍ර.] සිවුසැට ආභරණ අතරින් එක් ආභරණයක්."
අංගදාභරණය.,"[නා.] ඉහළ බාහුවේ පලඳිනු ලබන ආභරණය; අඟුපලඳනාව; කේයුරය."
අංගදාහය.,"[නා.] ඇඟ දෑවිල්ල ඇති කරන රෝගාබාධයක්."
"අංගනාව, අඞ්ගනාව.","[නා.] ස්ත්‍රිය; කාන්තාව."
"අංග පරිත්‍යාගය.","[නා.] අත්, පා, ඉස් ආදි ශරීරාංග පරිත්‍යාග කිරීම."
අංගපුලාව.,"1. (කථා.) [නා.] යහපත් පැවැත්ම. <br>2. [නා.] මනා හැඩහුරුකම."
අංගම.,"1. [නා.] මතුරා පිඹින නපුරු මන්ත්‍ර විශේෂයක්. <br>2. [නා.] දේවපූජා සඳහා පවත්වන නැටුම් විශේෂයක්."
"අංගම් පොරය.","1. [නා.] දෙදෙනකු අතරේ කරන කඩු හරඹය; ද්වන්ද්ව යුද්ධය. <br>2. [නා.] මල්ලවපොර වැනි ක්‍රීඩා විශේෂයක්."
"අංගය, අඞ්ගය.","1. [නා.] අතපය ආදි ශරීරයේ කොටස්; ශරීර අවයවය. <br>2. [නා.] සිරුර; කය; ශරීරය.<br> 3. [නා.] කොටස; භාගය; ප්‍රභේදය.<br> 4. [නා.] ලක්ෂණය.<br> 5. [නා.] ගුණය; ශීලය; ව්‍රතය; ප්‍රතිපත්තිය. <br>6. [නා.] පිළිවෙළ; ක්‍රමය. <br>7. [නා.] කුඹුරක කෙළවරක පිහිටි නෙරාගිය තීරය; වෙල්යායකින් පසෙකට විහිදී ගිය පටු තීරය."
"අංග රක්ෂක.","[නා.ප්‍ර.] පෞද්ගලික ආරක්ෂකයා; පෞද්ගලික ආරක්ෂක භටයා."
"අංග රාගය, අඞ්ග රාගය.","[නා.] ඇඟ ගල්වන සුවඳ විලවුන්; ඇඟ සුවඳ ගන්වන සඳුන් කොකුම් ආදි ආලේපය."
"අංග ලක්ෂණ.","[නා.ප්‍ර.] සිරුරෙහි ලකුණු; දේහ ලක්ෂණ."
අංගවිකල.,"[වි.] ශරීර අවයව හරියාකාර ව නොපිහිටි; අංග විකෘති."
"අංග විද්‍යාව.","[නා.] ශරීර ලක්ෂණ පිළිබඳ වූ ශාස්ත්‍රය; දේහ ලක්ෂණ විද්‍යාව; සාමුද්‍රිකා ශාස්ත්‍රය."
"අංග වෛද්‍යයා","[නා.] ශාරීරික ආබාධවලට වෙදකම් කරන තැනැත්තා; සර්වාංග වෛද්‍යවරයා; කාය චිකිත්සකයා."
"අංග සම.","(පාරිභා.) [වි.] හැම අතින් ම සමාන වූ (= congruent)."
"අංග සාදය.","[නා.] ඇඟෙහි වෙහෙස; ශරීර අවයවවල විඩාව."
"අංග සාම්‍යය.","(පාරිභා.) [නා.] අංග සමබව; සියලු අතින් සම වීම (= congruency)."
"අංග සූත්‍රය.","[නා.] ප්‍රධාන සූත්‍රය; ව්‍යාකරණ ශාස්ත්‍රයෙහි ප්‍රධාන රීතිය."
"අංග සූලය.","[නා.] ශරීරාංගවල හට ගැනෙන තියුණු වේදනාව."
අංගහාරය.,"[නා.] අත පා ආදි අවයව සෙලවීම; අංග චලනය."
අංගහීන.,"[වි.] ශරීරයේ අවයව අඩු වූ; අසම්පූර්ණ අවයව ඇති."
අංගාංගී.,"[අංග+අංගී]<br> [නා.ප්‍ර.] අංග සහ උපාංග; ශරීරය සහ අත් පා ආදි අවයව.<br> [වි.] අංග සහ උපාංග දරන."
අංගාණිය.,"[නා.] කඩ වීදිය; වෙළඳ වීථිය."
"අංගාරය, අඞ්ගාරය.","1. [නා.] අඟුර; ගිනි අඟුර. <br>2. [නා.] අඟුරුවල ඇති කාබන් නම් වූ තාත්වික පදාර්ථය."
අංගාරකය.,"1. [නා.] ගිනි අඟුර; නිවුණු ගිනි අඟුර. <br>2. [නා.] අඟහරු හෙවත් කුජ ග්‍රහයා."
අංගාරකරණය.,"1. (පාරිභා.) [නා.] ද්‍රව්‍යයක් අඟුරු කාබන් හෝ කෝක් බවට පත් කිරීම. <br>2. (පාරිභා.) [නා.] පිටපත් ගැනීම සඳහා කඩදාසියක කාබන් ආලේප කිරීම (=carbonisation)."
අංගාරධර.,"(පාරිභා.) [වි.] අංගාරධර පාෂාණ පිළිබඳ; ගල්අඟුරු සාදන (=Carboniferous)"
"අංගාර ධානිකාව.","[නා.] අඟුරු කබල; ගිනි කබල."
අංගාරමය.,"[වි.] අඟුරු වූවාක් ලෙස පෙනෙත; කාබන් ඇතුළත් අවසායිත නිධි පිළිබඳ වූ (=Carbonaceous)"
"අංගාර මාංසය.","[නා.] ගිනි අඟුරෙහි ලා පුලුස්සා ගත් දඩමස; ගින්නේ පළහන ලද මස."
"අංගාරය, අඞ්ගාරය.","1. [නා.] අඟුර; ගිනි අඟුර. <br>2. [නා.] අඟුරුවල ඇති කාබන් නම් වූ තාත්වික පදාර්ථය."
අංගාරිකාම්ලය.,"[නා.] අංගාර ධාතුව දැවීමෙන් හෝ සංයුක්ත වස්තු කුණු වී පැසීමෙන් හෝ හටගන්නා වායුව; කාබන් සහ ඔක්සිජන් සංයෝග වූ කාබන්ඩයොක්සයිඩ් වායුව."
අංගිය.,"1. [නා.] සිරුරක් ඇත්තී; ස්ත්‍රිය. <br>2. [නා.] ඇඟ ලන සැට්ටය; කංචුකය."
අංගී.,"[වි.] අවයව ඇති; සිරුරක් ඇති; අංගවලින් යුක්ත."
අංගීරස.,"[නා.ප්‍ර.] බුදුන්වහන්සේ.<br> [වි.] සිරුරෙන් විහිදෙන රැස් ඇති; බබළන සිරුරක් ඇති."
"අංගුටු මිට්ටා.","(කථා.) [නා.] අඟුටුමිට්ටා."
අංගුට්ට.,"(කථා.) [නා.] අත්පාවල මහ ඇඟිල්ල; මාපටැඟිල්ල."
"අංගුත්තර නිකාය.","[නා.ප්‍ර.] පාලි සූත්‍ර පිටකයේ නිකාය ග්‍රන්ථ පහ අතුරින් එකක්; මෙහි නිපාතයක් පාසා පිළිවෙළින් අංග වැඩි වන සේ යොදා තිබෙන බැවින් එනම් විය."
අංගුලය.,"[නා.] ඇඟිලි මිම්ම; අඟල; වියතින් නවයෙන් කොටස."
අංගුලිකා.,"1. [නා.ප්‍ර.] ඇඟිල්ල; කුඩා ඇඟිල්ල; සුළැඟිල්ල. <br>2. [නා.ප්‍ර.] බඩවැලෙහි ඇඟිලි හැඩය ගත් කෙඳි වැනි ප්‍රසර."
"අංගුලි පර්වය.","[නා.] ඇඟිලි පුරුක; ඇඟිල්ලේ එක් එක් සන්ධියකින් සීමා වූ කොටස."
අංගුලිය.,"[නා.] ඇඟිල්ල."
අංචිත.,"[වි.] පුදන ලද; වන්දනය කරනු ලැබූ."
"අංචිය, අඤ්චිය.","1. (කථා.) [නා.] යමකුට කරදර කිරීමෙහි යොදන උපාය; උගුල. <br>2. [නා.] ඇබැද්දිය; අකරතැබ්බය."
"අංජන කැට.","[නා.ප්‍ර.] ඇස්වල ගෑමට ගන්නා ඛනිජ ධාතු විශේෂයක්."
"අංජන කුලය.","(නා. ) කාළවර්ණ වූ ඇත් කුලයක්."
"අංජනදලූ, අඤ්ජනදලූ.","[නා.ප්‍ර.] ලී ලෝහ ආදියෙහි කැටයම් කරනු ලබන ලියකම් විශේෂයක්."
"අංජනම, අඤ්ජනම.","1. [නා.ප්‍ර.] අඳුන; ඇසෙහි ගාන රසායන බෙහෙත. <br>2. [නා.ප්‍ර.] පේන බැලීම පිණිස ජීවම් කරගන්නා ලද ආලේප විශේෂය."
"අංජනම් දේවී, අඤ්ජනම් දේවී.","[නා.] අංජනම් එළියෙන් ශාස්ත්‍ර කීමට උදවු වෙතියි විශ්වාස කරනු ලබන දෙව්දුව."
"අංජනය, අඤ්ජනය.","[නා.] ඇස අඳුන් ආලේප කිරීම; ඇස ගාන ආලේපය."
"අංජන ශලාකාව.","[නා.] අඳුන් ගාන තෙලිකූර."
"අංජලි, අඤ්ජලි.","[නා.ප්‍ර.] අංජලිය; අඤ්ජලිය බ."
"අංජලිකරණය, අඤ්ජලිකරණය.","[නා.] දොහොත් මුදුන් දී කරන නමස්කාරය; ඇඳිලි බැඳීම."
"අංජලිපුටය, අඤ්ජලිපුටය.","[නා.] ඇඟිලි එකතු කොට ගොටු ගසා එසවූ දෙඅත්ල; නමස්කාර වශයෙන් එක් කොට නැඟූ දෝත."
"අංජලිය, අඤ්ජලිය.","[නා.] ඇඟිලි එකතු වන සේ ඔසවා ගත් දෙඅත; අභිවාදනයට නැඟූ දෝත."
"අංබරුවා, අංබාරුවා.","(කමත්.) [නා.] ගවයා; මීමා."
අංමඩුව.,"[නා.] අං ආබරණ පේ කොට තබන මඩුව."
අංමුවා.,"[වි.] අඟින් සාදන ලද."
අංමුවා.,"[වි.] අඟින් සාදන ලද."
අංශකය,"1. [නා.] කොටස; භාගය. <br.2. [නා.] වෘත්තයකින් 1/360 පංගුව.<br> 3. [නා.] පෘථිවිගෝලය පරික්ෂේප කොට තිබෙන රේඛාවකින් 1/360 කොටස. <br>4. (පාරිභා.) [නා.] උෂ්ණත්වය මැනීමේ ඒකකය; කෝණ මැනීමේ ඒකකය(=degree)."
"අංශභාගය, අංසභාගය.","[නා.] ශරීරයේ එක් අංශයක් පණ නැති වීම ලක්ෂණ කොට ඇති රෝගය; පක්ෂාඝාතය."
අංශය.,"1. [නා.] භාගය; පංගුව.<br> 2. [නා.] දිශාව; පැත්ත.<br> 3. (පාරිභා.) [නා.] පාර්ශ්වය (=lateral); කොටස (=inaredient); පාදය (=side). <br>4. [නා.] යම්කිසි කාර්ය මණ්ඩලයක ශාඛාව."
"අංශ රූපය.","[නා.] අංශයක් පෙන්වන රූපය; පාර්ශ්වයක ආකාරය දක්වන ප්‍රතිබිම්බය."
අංශුක.,"1. [නා.ප්‍ර.] සිනිඳු රෙද්ද. <br>2. වැස්ම; කබාය; හැට්ටය."
අංශුධර.,"[නා.ප්‍ර.] රශ්මි ධාරා දරන්නා; හිරු; සූර්යයා."
අංශුමාත්‍රය.,"[නා.] ඉතා ටික; ඉතා ස්වල්පය; බිංදු මාත්‍රය."
අංශුමාලාව.,"[නා.] රැස්මාලාව; ආලෝකධාරාව."
අංශුමාලී.,"[නා.ප්‍ර.] රැස්මාලාවක් ඇති තැනැත්තා; සූර්යයා."
අංශුව.,"1. [නා.] ඉතා කුඩා කොටස; කුඩා කැබැල්ල; ස්වල්පය. <br>2. [නා.] ආලෝක ධාරාව; රශ්මිය."
"අංසකඩය, අංසකඩේ.","[නා.] භික්ෂූන් වහන්සේ සිවුරට යටින් වම් උරය වසා අඳින සැට්ට විශේෂය."
අංසකය.,"1. [නා.] උරහිස. <br>2. [නා.] ශරීර පාර්ශ්වය.<br> 3. [නා.] අංසකඩය."
අංසකූටය.,"[නා.] උරහිස; දසරුව."
"අංස මර්මය.","[නා.] උරහිස හා ගෙල අතර පිහිටි මරුපළ."
අංසානම.,"[නා.] ජල යාත්‍රාවල රුවල ගැට ගසන රිට; රුවල් ලීය."
අංසිනය.,"[නා.] අංශයක් දුබල වීම; අංශයක් හානි වීම; අබ්බගාතය."
අඃ,"[නි.] කෝපය, සන්තාපය, ඛේදය, පසුතැවිල්ල ආදි අර්ථ ප්‍රකාශ කරන නිපාත පදයක්."
අක,"1. [නා.] දුක; ශෝකය; වධය; වේදනාව.<br> 2. [නා.] ඇස; නේත්‍රය.<br> 3. [නා.] දාදු කැටය. <br>4. [නා.] දූ කෙළිය.<br> 5. [නා.] වී ඇට විස්සක බර.<br> 6. [නා.] වී ඇට විස්සක බරින් යුත් රන් කාසිය.<br> 7. [නා.] ටික; ස්වල්පය. <br>8. [නා.] රියෙහි අලවංගුව. <br>9. [නා.] ලකුණ; සටහන. <br>10. [නා.] අංකය; ඉලක්කම. <br>11. [නා.] විදුලිය. <br>[වි.] පටු; හැකුළුණු."
අකටයුතු.,"[වි.] කිරීමට නුසුදුසු; නොකළ යුතු වූ; අයුතු."
අකටවිකට.,"[නා.ප්‍ර.] විහිළු තහළු; විගඩම්; උසුළු විසුළු."
අකඩ.,"[වි.] නොකැඩුණු; අඛණ්ඩ."
අකණ.,"1. [නා.] පින් කළ නොහැකි කාලය; නුසුදුසු කාලය; අක්ෂණය.
<br>2. [නා.] විදුලිය; අකුණු පහර; විද්යුල්ලතාව."
අකත.,"[වි.] නොකළ; නොසාදන ලද."
"අකනිටා, අගනිටා.","[නා.ප්‍ර.] බ්‍රහ්මලෝක දහසයෙන් එකක නාමය."
අකපට.,"[නා.] නවගුණවැල; අක්ෂමාලාව.
[වි.]  කපටි නොවූ."
අකපටු.,"1. [වි.] හැකුළුණු.
<br>2. [වි.] ගැවසී ගත්."
අකප්පිය.,"(විනය.) [වි.] නුසුදුසු; අකැප; අසාරුප්‍ය."
"අකමැති, අකැමැති.","[වි.] කැමැත්තක් නැති: අරුචි"
"අකම්, අකර්මක.","(ව්‍යාක.) [වි.] කර්ම පදයක් නොගන්නා; කර්මයක් නොමැති."
"අකම්ප, අකම්පිත, අකම්ප්‍ය.","[වි.] නොසෙල්වෙන; කම්පා නොවන."
අකර.,"1. [නා.] අකුර; අක්ෂරය.
<br>2. [නා.] අංකුරය; මොරෙය්යා.
<br>3. [නා.] යම් යම් දේ එකතු වී ඇති තැන; ඛනිජ සම්පත් එක්රැස් වී ඇති ස්ථානය; ආකරය.
<br>4. [නා.] ආකාරය; අයුර."
අකරණීය.,"[වි.] නොකටයුතු; නොකළමනා; අකර්තව්‍ය."
අකරතැබ්බය.,"[නා.] බලාපොරොත්තු නොවූ කරදරය."
අකරදාරුව.,"[නා.] ප්‍රථම භාර්යාවගෙන් දික්කසාද නොවී දෙවන භාර්යාවක් පාවා ගැනීමේ දී පුරුෂයකු විසින් එම දෙවන කාන්තාව වෙත දෙනු ලබන පොරොන් පත්‍රය."
"අකර්තව්‍ය ","[වි.] නොකළ යුතු; නොකටයුතු."
"අකර්මක ක්‍රියාව ","(ව්‍යාක.) [නා.] කර්මයක් අපේක්ෂා නොකරන ක්‍රියා පදය."
"අකර්මක ධාතුව ","[නා.] (ව්‍යාක.) කර්මයක් අපේක්ෂා නොකරන ධාතුව හෙවත් ක්‍රියා මූලය."
"අකර්මක ධ්‍රැවය ","(පාරිභා.) [නා.] වැඩියෙන් ම බීජාන්නය ඇත්තා වූ ද ඩිම්බ න්‍යෂ්ටියෙන් හැකිතාක් දුරස්තර වූ ද මතුපිට වූ ලක්ෂ්‍යය (=vegetative pole)."
"අකර්මජ ","[වි.]  කර්මයෙන් නූපන්; කර්මයෙන් නොහටගත්."
"අකර්මණ්‍ය ","1. [වි.] යම් කටයුත්තක නොයෙදිය හැකි; අලස; කුසීත. <br>2. [වි.] පොලී ගෙවීමක් නැති; වැඩකට නොයොදන ලද."
"අකර්ණනය ","[නා.] ඇසීම; ශ්‍රවණය කිරීම."
"අකල ","[නා.] නුසුදුසු කාලය; අනියම් කාලය."
"අකලංක, අකලඞ්ක ","[වි.]  කැළැල් නැති; ලප නැති."
"අකල් ","1. [වි.] අකාලයෙහි වූ; නොකල්හි සිදු වන; අවේලාවෙහි වු. <br>2. [වි.] යහපත් නොවූ; ප්‍රිය නොවූ; අකල්‍ය. <br> [නා.ප්‍ර.] නුසුදුසු කාලය; අනියම් කාලය."
"අකල් මරණය ","[නා.] අකාලයේ සිදු වූ මරණය."
අකල්මාෂ,"[වි.]  ලප රහිත; නොකැළැල්."
"අකල්ලකයා ","[නා.] ලෙඩ වූ තැනැත්තා; රෝගියා."
"අකවටුව ","[නා.] උක්කුටික ව හිඳ ගැනීමේ ක්‍රමයක්."
"අකවනවා ","1. (කථා.) [ක්‍රි.] හිරකරනවා; අවුරනවා. <br>2. [ක්‍රි.] (කුඹුරක වතුර) නවත්වනවා."
"අකාඩය ","1. [නා.] මල්ලවපොර පිටිය. <br>2. [නා.] අඩමානය; සැක සහිත බව. <br>3. [නා.] අනිසි වේලාව."
"අකාබනික ","(පාරිභා.) [වි.] (කාබනේට් හා සයනයිඩ් හැර) කාබන් අඩංගු නැති; ජීව සම්බන්ධයක් නැති (=inorganic)."
"අකාබනික රසායන විද්‍යාව ","[නා.] කාබන් හැර ඉතිරි රසායනික මූල ද්‍රව්‍යත් ඒවායේ සංයෝගත් පිළිබඳ වූ ශාස්ත්‍රය."
"අකාමකා ","[පූර්ව.ක්‍රි.] යටපත් කොට; අමතක කොට; නොසලකා හැර."
"අකාරක ","[වි.]  නොකරන."
"අකාරණය ","[නා.] හේතුවක් නැති දෙය; නොකරන; නොකටයුත්ත; අයුක්තිය."
අකාරය,"[නා.] “අ” යන අක්ෂරය; “අ” යන්න."
"අකාරාදිය ","[නා.] “අ”කාරය ආදි කොට ඇති අකුරු අනුපිළිවෙළින් සකස් කළ වචන මාලාව; ශබ්දකෝෂය."
"අකාරාන්ත ","[වි.] “අ” කාරයෙන් කෙළවර වන. <br> [නා.ප්‍ර.] ‘අ’ කාරයෙන් අවසන් වන ශබ්දය."
අකාර්යක්ෂම,"[වි.]  කටයුත්තෙහි දක්ෂ නැති; කාර්යයෙහි අදක්ෂ."
"අකාර්යය ","[නා.] නොකළ යුතු දෙය; නොකළ යුත්ත."
"අකාල ","[වි.]  නියම කාලයෙන් බැහැර වූ; නොනිසි කාලයෙහි වූ; අවාරයෙහි වූ."
"අකාලඥ ","[වි.]  සුදුසු කාලය නොදන්නා වූ."
"අකාල මරණය [","නා.] නියම කාලයට පෙර සිදු වන මරණය; අකල් මරණය."
අකාලය,"[නා.] කාලය නොවන අවස්ථාව; අවේලාව; අනියම් කාලය."
"අකාලවාදී ","[වි.]  කථා කිරීමට සුදුසු කාලය නොදන්නා වූ; නොකල්හි කථා කරන."
"අකාලික ","1. [වි.] නියම කාලයෙන් බැහැර වූ; නොනිසි කාලයෙහි වූ. <br>2. [වි.] කර්මයට අනතුරු ව විපාක දෙන; කාලය නොඉක්මවා පල දෙන. <br>3. [වි.] කාල සීමාවකට යටත් නොවූ; කාල සීමාවක් නිශ්චය කළ නොහැකි."
"අකැප ","[වි.]  කැප නැති; අසාරූප්‍ය."
"අකැමැත්ත, අකමැත්ත ","[නා.] කැමැති නැතිබව; අකමැතිබව."
"අකිංකර ","[වි.]  අණට කීකරු."
"අකිංචන, අකිඤ්චන ","1. [වි.] තමා සතු කිසිදු වස්තුවක් නැති; දිළිඳු. <br>2. [වි.] රාගාදියෙන් හෝ විඤ්ඤාණයෙන් හෝ තොර වූ."
"අකිරිය ","1. [වි.] ක්‍රියාවෙන් තොර; සුචරිතාදිය නොකරන. <br>2. [වි.] ක්‍රියාවක් නැතැයි සලකන; කර්මය නොඅදහන."
"අකිරිය වාදය ","[නා.] කුසල් වශයෙන් හෝ අකුසල් වශයෙන් ක්‍රියාවකට විපාකයක් නැතැයි යන දෘෂ්ටිය; කර්මඵල විශ්වාස නොකිරීම."
"අකීර්තිය ","[නා.] අපකීර්තිය; නින්දාව; අවමානය."
"අකු ඇටය ","[නා.] උරයෙහි ඉදිරිපසින් තිරස් ව පපුවේ මැද සිට උරහිස් සන්ධි කරා විහිදී ගිය අස්ථිය."
"අකුටිල ","1. [වි.] ඇද නැති; වකුටු නොවූ; කුටිල නොවූ. <br>2. [වි.] අවංක; අකපට."
"අකුණ ","[නා.] විදුලිය; විදුලි කෙටීම; හෙණය."
"අකුණු නිවාරකය ","[නා.] (අකුණුවලින් ඇති වන අධිවෝල්ටියතාවෙන්) විදුලි උපකරණ ආරක්ෂා කරන උපකරණය."
"අකුණු පහන ","[නා.] විදුලි කෙටීමේ දී ඇති වන ආලෝකය; අකුණු එළිය."
"අකුණු පහර ","[නා.] විදුලිය කෙටීමේ දී පොළොව කරා විහිදෙන විද්‍යුත් ප්‍රහාරය; සෙණ පහර."
"අකුණු සන්නායකය ","[නා.] (ගොඩනැගිලි නැව් ආදියට) අකුණු වැදීම වළක්වන ලෝහමය උපකරණය."
"අකුණ්ඨ ","[වි.]  මොට නොවූ; මුවහත් සහිත; තියුණු."
"අකුතෝභය ","[වි.]  බිය වීමට හේතුවක් නැති; කොතනකින් වත් පැමිණෙන බියක් නැති."
"අකුධාතුව ","[නා.] ආදාහනයෙන් පසු ඉතිරි වූ, බුදුරජාණන් වහන්සේගේ උරයෙහි ඉදිරිපසින් හරස් ව පිහිටා තිබූ අස්ථිය."
"අකුප්‍යය ","[නා.] අමිශ්‍ර හෙවත් පිරිසිදු ලෝහය."
"අකුර ","1. [නා.] භාෂාවක ශබ්ද ඒකකයක් ලියා දැක්වීම සඳහා යොදා ගනු ලබන සංකේතය; හෝඩියේ හෝ වර්ණමාලාවේ සංකේතවලින් එකක්; වර්ණය. <br>2. [නා.] ඉගෙනීම; පොත්පත් හැදෑරීම. <br>3. [නා.] වාහනයක රෝද සවි වී තිබෙන හරස් යකඩය; අලවංගුව. <br>4. [නා.] පැළය; අංකුරය. <br>5. [නා.] දලුව; ළපටි රිකිල්ල. <br>6. [නා.] සිරුරෙහි හටගන්නා මස් රොද. <br>7. [නා.] ගල් කැටය; බොරලු කැටය."
"අකුරට ","[වි.]  නියම කළ ලෙස; අඩුවක් නැති ව; ඉතා නිවැරදි ලෙස."
"අකුරට යනවා ","[ක්‍රි.] ඉගෙනීමට යනවා; පාසැල් යනවා."
"අකුරට වැඩ කරනවා ","[ක්‍රි.] අමතර කටයුතුවලින් වැලකී නියම වී ඇති වැඩ කොටස පමණක් කරනවා."
"අකුරු කරනවා ","[ක්‍රි.] අකුරු ඉගෙන ගන්නවා; අධ්‍යයනය කරනවා; අධ්‍යාපනය ලබනවා."
"අකුරු මරනවා ","[ක්‍රි.] අකුරු වරද්දනවා."
"අකුරුමැටි ","[නා.ප්‍ර.] ගල්කුඩුවලින් සෑදුණු මැටි වර්ගයක්"
"අකුරු පෝරුව ","[නා.] අකුරු ලිවීමට භාවිත කළ ලෑල්ල; වැලිපිල්ල."
"අකුරු හරඹය ","[නා.] ගල් කැට විදීමේ ක්‍රීඩාව."
"අකුරු හල ","[නා.] අකුරු උගන්වන ස්ථානය; පාසැල"
