"පාලි වචනය","සිංහල පරිවර්තනය"
සාවණ,"(න) ඇස්වීම; ප්‍රකාශ කිරීම."
සාවණ,"(පු) ශ්‍රාවණ, නිකිණිමාසය."
සාවත්ථි,"(ඉ) එනම් පුරය."
සාවත්ථි,"(ඉ) සැවැත් නුවර."
සාවයන,"(න) ඇස්වීම, ශ්‍ර‍වණයකරවීම."
"සාවසෙස ","(3) ඉතිරි දෙයක් ඇති; වැඩියක් ඇති."
සාවස්සෙ,"(ති) ඉතුරු ඇති, අසම්පූර්‍ණ."
සාවිකා,"(ඉ) ධර්මය පිළිපදින්නී; ශ්‍රාවිකාව."
සාවිකා,"(ඉ) ශ්‍රාවිකාව, ශිෂ්‍යාව."
සාවිත්ති,"(ඉ) එනම් සෘග්වෙදය."
සාවිත්තී,"(ඉ) වේද වාක්‍යයක්."
"සාවෙතබ්බ ","(3) ප්‍රකාශ කළ යුතු."
සාවෙති,"(ක්‍රි) (d) (භු) (සු) සවනෙ, ඇස්වීමෙහි+ණෙ+ති) අස්වයි."
සාවෙති,"(සු+ණෙ) අස්වයි; ප්‍රකාශ කරයි."
සාවෙතු,"(පු) අස්වන්නා; ප්‍රකාශ කරන්නා."
සාවෙතුං,"(නි) අස්වන්ට; ප්‍රකාශ කරන්ට."
සාවෙත්වා,"(පූ.ක්‍රි) අස්වා; ප්‍රකාශ කොට."
"සාවෙන්ත ","(3) අස්වන; ප්‍රකාශ කරන; ප්‍රකාශ කරමින්."
සාස,"(පු) ආස්වාශය, ස්වාශය, හුස්ම ඉහළට ඇදීම."
සාස,"(භු) අනුසිට්ඨියං, අනුශාසනාකිරීමෙහි, සාසති, අනුසාසති, අනුශාසනාකරයි."
සාසඞ්ක,"(පු) සැකසහිත කුකුස් සහිත."
"සාසඞ්ක ","(3) අනතුරු සහිත; සැක සහිත."
සාසති,"(ක්‍රි) (d (සු) සවනෙ, ඇස්වීමෙහි+ති) අනුශාසනා කරයි."
සාසති,"(සාස+අ) අනුශාසනා කරයි; උගන්වයි; රාජ්‍ය පාලනය කරයි."
සාසන,"(න) අවවාදය; ඉගැන්වීම; ධර්මය; පණිවුඩය; පාලනය; ලියුම."
සාසන,"(න) ආඥාව, ආගම, ලබ්ධිය, හසුන්පත්, අනුශාසනාකිරීම."
"සාසනකර ","(3) අවවාදය පිළිපදින්නා."
"සාසනකාරක ","(3) අවවාදය පිළිපදින්නා."
සාසනන්තරධාන,"(න) ධර්මය විනාශ වීම."
සාසනන්තරධාන,"(න) බුද්ධ ධර්‍මය (ශාසනය) අතුරුදහන්වීම,"
"සාසනහර ","(3) සන්දේශය හෝ පණිවුඩය ගෙනයන්නා."
"සාසනහාරක ","(3) සන්දේශය හෝ පණිවුඩය ගෙනයන්නා."
සාසනාගාර,"(න) තැපැල් කාර්යාලය."
"සාසනාවචර ","(3) ධර්මයෙහි හැසිරෙන."
"සාසනික ","(3) බුදු සස්නට අයත්."
සාසප,"(පු) අබ (ඇටය)."
සාසප,"(පු) අබ, සිදුහත් බිජු."
සාසපකුට්ඨ,"(න) අබකුඩු."
සාසව,"(පු) ආශ්‍ර‍වසහිත, කෙලෙස්සහිත."
"සාසව ","(3) ආශ්‍රව සහිත."
සාහත්ථික,"(ති) සියතින්, තමාගේ ම අතින්."
"සාහත්ථික ","(3) තමාගේ අතින්ම කළ."
සාහස,"(න) අපරාධය; නපුරු ක්‍රියාව."
සාහස,"(න) බලාත්කාරය, දණ්ඩනය, දරුණු."
සාහසකිරියා,"(ඉ) බලාත්කාරය, අඩන්තේට්ටම."
සාහසප්පිය,"(පු) දරුණු ක්‍රියාවට කැමැත්තහු"
සාහසා,"(පු) තර්‍කණයක් නැතුව ප්‍ර‍වෘත්ත ක්‍රියායෙහි, වහා, හනික."
සාහසික,"(පු) දරුණු, චණ්ඩ, නපුරු."
"සාහසික ","(3) අපරාධ කරන්නා; නපුරු වූ."
සාහසියකම්ම,"(න) තිරිසන් ක්‍රියාව, භයානක ක්‍රියාව."
සාහු,"(අ) ස්වීකාරයෙහි, සාදු, යහපති."
සාහු,"(නි) යෙහෙකි."
සාහුණෙය්‍ය,"(පු) ආහුණෙය්‍යන් සහිත"
සාළ,"(පු) වෘක්ෂය, සල්රුක, සාල."
සාළව,"(න) කෑමජාතියක්, සැලඩ් වර්‍ගයක්."
සාළව,"(පු) සලාද."
සාළික,"(පු) කුරුළු වර්‍ගයක්, මයිනා."
සාළිකා,"(ඉ) සැළලිහිණියා, ශාරිකා."
සාළූර,"(පු) බල්ලා, සාලූර."
සි,"(අ) නාමාඛ්‍යාත විභක්තිප්‍ර‍ත්‍යය ධාතු යන මෙහි."
සි,"(කි) බන්ධනෙ, බැඳීමෙහි, සිනාති, බඳියි, සීමා, සීසං."
සි,"(චු) බන්ධනෙ, බැඳීමෙහි, සීයතෙ, බදිනු ලැබේ."
සි,"(භු) ගමනෙ, යාමෙහි, වඩ්ඪනෙ, වැඩීමෙහි, සෙති අතිසෙති යෙයි, වැඩෙයි."
සි,"(භු) සයෙ, සයනය කිරීමෙහි, සෙති, සයති, සයනයකරයි."
සි,"(භු) සෙවනෙ, සේවනයකිරීමෙහි, සෙවති, සේවනයකරයි, සෙවනා, සේවකො."
සික,"(චු) ආමසනෙ, ආමර්‍ෂණයෙහි, සිකෙති සිකයති, ආමර්‍ෂණයකරයි."
සිකතා,"(ඉ) වැලි."
සිකතා,"(ඉ) වැලි."
සික්කා,"(ඉ) උරිය හෝ පසුම්බිය; කත්කොණ; කදේ එල්ලන සාල්ල."
සික්කා,"(ඉ) සාල්ල, උඩහල්ල."
සික්ඛ,"(භු) සික්ඛනෙ, හික්මීමෙහි, සික්ඛති, හික්මෙහි, සික්ඛා, සික්ඛාපදං."
සික්ඛණ,"(න) හික්මීම, ශික්ෂණය."
සික්ඛති,"(ක්‍රි) (d) (භු) සික්ඛනෙ, හික්මීමෙහි+ති) හික්මෙයි."
සික්ඛති,"(සික්ඛ+අ) ඉගෙනගනී; පිළිපදී; පුහුණු කරයි."
සික්ඛන,"(න) ඉගෙනීම; පුහුණු කිරීම."
"සික්ඛන්ත ","(3) පුහුණු කරන."
"සික්ඛමාන ","(3) පුහුණු කරමින්."
සික්ඛමානා,"(ඉ) උපසම්පදා පිණිස හික්මෙන සාමණේරිය."
සික්ඛමානා,"(ඉ) උපසම්පදාව ලැබීම සඳහා පුහුණුවන මෙහෙණිය."
සික්ඛා,"(ඉ) ඉගනීම; නීතිය; පුහුණුව; ශික්ෂාව."
සික්ඛා,"(ඉ) ශික්ෂාව, වෙදාඞ්ගය."
"සික්ඛාකාමා ","(3) ශික්ෂාවන් පිළිපැදීමට කැමති."
සික්ඛාපක,"(පු) හික්මවන්නා, ආචාර්‍ය්‍යවරයා."
"සික්ඛාපක ","(3) උගන්වන්නා; පහුණු කරවන්නා."
සික්ඛාපච්චක්ඛාන,"(න) ශික්ෂාප්‍ර‍ත්‍යාක්ඛානය."
සික්ඛාපද,"(න) නීතිය; පිළිපැදිය යුත්ත; ශික්ෂාව."
සික්ඛාපද,"(න) ශික්ෂාපද, හික්මියයුතු ව්‍යවස්ථා, හික්මිය යුතු කාරණා, සිකපද."
සික්ඛාපන,"(න) ඉගැන්වීම; පුහුණු කරවීම."
සික්ඛාපන,"(න) හික්මවීම, ශික්ෂණයකිරීම."
"සික්ඛාපනක ","(3) උගන්වන්නා; පුහුණු කරවන්නා."
සික්ඛාසමාදාන,"(න) ශික්ෂා බාර ගැනීම; ශික්ෂාපද ගැනීම."
සික්ඛාසමාදාන,"(න) ශික්ෂාපද සමාදන්වීම."
සික්ඛාසාජීව,"(පු) ශික්ෂාවෙන් සමානව ජීවත්වීම."
සික්ඛිත,"(ති) හික්මෙනලද, පුරුදුකළ, දක්ෂවූ."
"සික්ඛිත ","(3) උගත්; පුහුණු වූ; හික්මුණු."
සික්ඛිතබ්බ,"(ති) හික්මිය යුතු, ඉගෙනගත යුතු."
"සික්ඛිතබ්බ ","(3) උගත යුතු; පුහුණු කළ යුතු."
සික්ඛිතුං,"(නි) ඉගෙනගන්ට; පුහුණු කරන්ට."
සික්ඛිත්වා,"(පූ.ක්‍රි) ඉගෙන; පුහුණු කොට."
සිඛණ්ඩ,"(පු) චූඩාව, මොනරපිළ."
සිඛණ්ඩ,"(පු) මොනර කුඩුම්බිය."
සිඛණ්ඩක,"(පු) චූළාව, කුඩිම්බිය, චූඩාව."
සිඛණ්ඩී,"(පු) චූලා ඇත්තා, මොනරා."
සිඛණ්ඩී,"(පු) මොනරා."
සිඛණ්ඩීනී,"(ඉ) හුනිඳ, ඔලිඳ."
සිඛර,"(න) කඳු මුදුන; බුරුම කටුව‍ හෝ අවගාරය; මුදුන."
සිඛර,"(න) මස්තකය, මුදුන, වෘක්ෂාග්‍ර‍ය, විදින කටුව."
සිඛරණී,"(ඉ) ගැහැණු ජාතියක්."
සිඛරී,"(පු) පර්‍වතය, වෘක්ෂය."
සිඛරී,"(පු) පර්වතය."
සිඛා,"(ඉ) කුඩා කොණ්ඩය; කුඩුම්බිය; දැල්ල (පහන්)."
සිඛා,"(ඉ) කොණ්ඩය, ගිනි දැල්ල, ප්‍ර‍ධාන, කෙළවර, මයූර."
සිඛාබද්ධ,"(පු) රන්නූල් ආදියෙන් විසිතුරු කොට කොණ්ඩා බදින (ලද) බැදීම."
සිඛී,"(පු) ගින්න; මොනරා."
සිගාල,"(පු) නරියා; හිවලා."
සිගාල,"(පු) සිවලා, කැණහිලා."
සිගාලක,"(න) හිවල් නාදය."
සිගාලක,"(පු) සිවලාට අයිති, සිවලාට අයත්."
සිගාලික,"(ති) සිවලාට අයත්."
සිග්ගු,"(පු) මුරුංගා."
සිග්ගු,"(පු) මුරුඟා, පලා."
සිඝ,"(භු) චුම්බනෙ, ඉඹීමෙහි, සිඞ්ඝති, උපසිඞ්ඝති, ඉඹී."
සිඞ්ග,"(න) අඟ; මුදුන."
සිඞ්ග,"(න) ප්‍ර‍ධානාර්ථ, පර්‍වතශිඛර, අඟ, අං)"
සිඞ්ගධනු,"(න) අංවලින් තැනූ දුන්න."
සිඞ්ගධමක,"(න) අඟින් තැනූ නළාවක්."
සිඞ්ගාර,"(පු) එනම් නාට්‍ය රසය."
සිඞ්ගාර,"(පු) ශෘඞ්ගාර රසය; ස්ත්‍රී පුරුෂයන් අතර ප්‍රේමය ඇති කරන ක්‍රියාව."
සිඞ්ගාරී,"(ඉ) රැහැයියා, රෑසියා."
සිඞ්ගිනී,"(ඉ) දෙන, ධෙනු."
සිඞ්ගිවෙර,"(න) ඉඟුරු."
සිඞ්ගිවෙර,"(න) ඉඟුරු."
සිඞ්ගී,"(ඉ) විෂ්ණු, රත්රන් විශේෂයක්, ඔසද්ධිය, සුඟු."
"සිඞ්ගී ","(3) අං ඇත්තා; උඩඟු පුද්ගලයා; ගවාදී අං ඇති සතා."
සිඞ්ගීනද,"(න) රත්රන්; රන්."
සිඞ්ගීනාද,"(න) රත්රන්, රන්."
සිඞ්ගීවණ්ණ,"(න) රත්රන්; රන්."
සිඞ්ගීසුවණ්ණ,"(න) රත්රන්, රන්."
සිඞ්ගු,"(ඉ) මාළු වර්‍ගයක්."
සිඞ්ඝති,"(ක්‍රි) (d) (භු) සිසි, ආසානෙ, චුම්බනයෙහි+ති) චුම්බනය කෙරේ."
සිඞ්ඝති,"(සිඞ්ඝ+අ) ගඳ බලයි; සිඹියි."
සිඞ්ඝාට,"(පු) ගොකටු."
සිඞ්ඝාටක,"(පු) (න) කතිරය; කතිරයක් ‍හෝ කුරුසයක් වැනි දෙය; සතර මං සන්ධිය."
සිඞ්ඝාටක,"(පු) කෙකටියඅල, මාර්‍ගසන්ධිය."
සිඞ්ඝාණිකා,"(ඉ) සොටු."
සිඞ්ඟිලොණ,"(න) අඟක ලුණු දැමීම."
සිඞ්ඟීක,"(ති) අඟක් ඇති."
සිඞ්ඟීක,"(පු) ජීවක."
සිඞ්ඟීල,"(පු) අඟක් වැනි හොටක් ඇති පක්ෂියා."
සිඞ්ඟීවණ්ණ,"(ති) රත් පැහැති, සුවර්ණ වර්‍ණ පැහැයක් ඇති."
සිච,"(භු) සෙචනෙ, වැගිරීමෙහි, සෙචති, වැගිරෙයි, සෙකො."
සිච,"(රු) සෙචනෙ, වැගිරීමෙහි, සිඤ්චති, වැගිරෙයි."
සිචි,"(න) පිරිසිදු දෙය."
"සිචිජාතික ","(3) පිරිසිදු ස්වභාව ඇති."
සිජ්ජමාන,"(න) තැම්බීම, කැකෑරීම."
සිජ්ඣති,"(ක්‍රි) (d) (භු) සිජි, අබ්‍යත්තසද්දෙ, අවියත් බැව්හි+ති) සිදුවෙයි."
සිජ්ඣති,"(සිධ+ය) සම්පූර්ණ වේ; සිදු වේ."
සිජ්ඣන,"(න) සිදු වීම."
"සිජ්ඣන්ත ","(3) සි‍දුවෙන; සිදුවෙමින්."
"සිජ්ඣමාන ","(3) සිදුවෙන; සිදුවෙමින්."
"සිඤ්චක ","(3) ඉසින්නා; වත් කරන්නා; විසුරුවන්නා."
සිඤ්චති,"(ක්‍රි) - (d) (භු) සිච, සෙචනෙ, ඉසීමෙහි+ති) ඉසියි."
සිඤ්චති,"(සිච+ංඅ) ඉසියි; වත් කරයි; විසුරුවයි."
සිඤ්චන,"(න) ඉසීම, සෙකය."
සිඤ්චන,"(න) ඉසීම; වත් කිරීම; වැක් කිරීම."
"සිඤ්චනක ","(3) ඉසින; වත් කරන."
"සිඤ්චන්ත ","(3) ඉසින; වත් කරමින්."
"සිඤ්චමාන ","(3) ඉසින; වත් කරමින්."
සිඤ්චාපන,"(න) ඉස්සවීම; වත් කිරීම."
සිඤ්චාපෙති,"(සිච+ණාපෙ) ඉස්වයි; වත් කරවයි."
"සිඤ්චාපෙන්ත ","(3) ඉස්සවමින්; වත්කරවමින්."
"සිඤ්චිතබ්බ ","(3) ඉසිය යුතු; වත් කළයුතු."
සිඤ්චිතුං,"(නි) ඉසින්ට; වත් කරන්ට."
සිඤ්චිත්වා,"(පූ.ක්‍රි) ඉස; වත්කොට; විසුරුවා."
සිඤ්චිය,"(පූ.ක්‍රි) ඉස; වත්කොට; විසුරුවා."
සිඤ්ජනී,"(ඉ) දුනුදිය, දුනු ලනුව."
සිට,"(භු) අනාදරෙ, අනාදරයෙහි, සෙටති, අනදර කරයි."
සිට්ඨ,"(න) බත් මිටක්."
සිට්ඨි,"(ඉ) ආඥාව, ඇඟවීම, නියොගය."
සිත,"(ති) බඳනා ලද්ද, ආශ්‍රිත, ධවල, සුදු පැහැය."
සිත,"(න) මද සිනාව."
සිත,"(න) මඳසිනාව, මන්දාහාස්‍යය."
සිත,"(භු) සෙතකරණෙ, සෙවතවර්ණකිරීමෙහි, සුදුපාට කරයි, සෙතචඡත්තං."
"සිත ","(3) ආශ්‍රිත වූ; සුදු පැහැති."
සිතකාර,"(න) සිනාසීම, හිනැහීම."
සිතඞ්ග,"(පු) කපුරු."
සිතත,"(පු) අලසයා."
සිතල,"(න) සිහිල, ශීතලය."
සිතසීව,"(න) සෛන්ධව ලුණු."
සිතාක‍ාර,"(පු) සිනාසෙන ආකාරය."
සිත්ත,"(ති) ඉසින ලද, සේවනය කරන ලද."
"සිත්ත ","(3) ඉසින ලද; පැන් ඉස තෙමූ; වත් කළ."
සිත්ථ,"(න) ඉ‍ටි; බත් ඇටය; බත් උල (හුල)."
සිත්ථ,"(න) මීඉටි, බත්තුල."
සිත්ථක,"(න) මී ඉටි."
සිත්ථක,"(න) මීඉටි, බත්තුල."
සිත්ථාවකාරකං,"(ක්‍රි.වි) බත් තුලු විසුරවමින්."
සිත්ථාවකාරකං,"බත්හුළු විසුරුවමින්."
සිථිල,"(න) තද, ශක්තිමත්."
"සිථිල ","(3) බුරුල්; ලිහිල්; ශක්තිමත් නොවූ."
"සිථිලපරක්කම ","(3) අඩු විර්ය ඇති."
සිථිලභාව,"(පු) බුරුල් බව."
සිද,"(දි) පාකෙ, පිසීමෙහි."
සිද,"(භු) කාමෙපාකෙච, කාමාධ්‍යාසයෙහි පිසීමෙහි."
සිද,"(භු) සොධනෙ, සුද්ධකිරීමෙහි, සෙදති, සුද්ධකරයි."
සිදි,"(භු) සීතලෙ, සිහිල් බැව්හි, සින්දති, සිහිල් කරයි."
සිද්ධ,"(පු) එනම් දෙවයෝනිය, සිදුවූ දෙය."
"සිද්ධ ","(3) සම්පූර්ණ වූ; සිදු වූ; (පු) යෝග භාවනාවෙන් විශේෂ බල ලැබූ පුද්ගලයා."
සිද්ධත්ථ,"(පු) සිද්ධාර්ථකුමාරයා, බුදුරජ, අබ, සිද්ධවූ අර්ථය."
"සිද්ධත්ථ ","(3) සිදුවූ අදහස් ඇත්තා; (පු) අබ."
සිද්ධත්ථක,"(න) සුදු අබ."
සිද්ධත්ථක,"(පු) අබ."
සිද්ධන්ත,"(න) ලබ්ධිය."
සිද්ධි,"(ඉ) සම්පූර්ණත්වය; සමෘද්ධිය."
සිද්ධි,"(ඉ) සිද්ධිය, නිවන."
සිද්ධික,"(ති) සඵලවීම් සහිත, සාර්‍ථකලෙස සිදුවෙයි."
"සිද්ධික ","(3) සිද්ධි ඇති."
සිධ,"(දි) සංසිද්ධියං, නිපදවීමෙහි, සිජ්ඣති, සිදුවෙයි."
සිධු,"(ති) සුරා."
සිධු,"(භු) ගමනෙ, යාමෙහි, සෙධති, යෙයි, නිසෙධති, පටිසෙධති."
සිනා,"(දි) සිනානෙ, ස්නානයෙහි, සිනාති, ස්නානයකරයි."
සිනා,"(න) නෑම, ස්නානයකිරීම."
සිනාත,"(ති) ස්නානයකළ, සොධාහරිණ ලද."
සිනාති,"(ක්‍රි) (d (දි) සිනානෙ, ස්නානයෙහි+ති) ස්නානයකරයි."
සිනාන,"(න) නෑම."
සිනානී,"(ඉ) නහන සුනු."
සිනිද්ධ,"(පු) සිනිඳු, මොලොක්, ස්නෙහඇත්තා, මිත්‍ර‍යා."
"සිනිද්ධ ","(3) මට්ටම්; මොලොක්; සිනිඳු."
සිනිහ,"(දි) පීතියං, ප්‍රීතියෙහි, සිනිය්හති, ප්‍රීති උපදවයි, ස්නෙහො සිනීහො."
සිනීය්හති,"(ක්‍රි) (d (දි) සිනහ, පීතියං, ප්‍රීතියෙහි+ති) ප්‍රීති උපදවයි."
සිනෙරු,"(පු) මහමෙර, මෙරුපර්‍වතය."
සිනෙහ,"(චු) සිනිද්ධෙ, සිනිඳුකිරීමෙහි, මෘදු, සිනෙහෙති, සිනෙහයති, මෘදුකරයි."
සිනෙහ,"(පු) ආලය; තෙත් ගතිය; තෙල; ස්නේහය; සාරය."
සිනෙහ,"(පු) ප්‍රේමය, තෛලය."
සිනෙහ,"(පු) ස්නෙහය, ආදරය."
සිනෙහක,"(පු) මිත්‍ර‍යා, යහළුවා."
සිනෙහන,"(න) තෙත් කිරීම; තෙල් ගැල්වීම; පෙඟවීම."
සිනෙහන්වය,"(පු) ප්‍රේමය අනුව යන."
සිනෙහබින්දු,"(න) තෙල් බින්දුව."
සිනෙහබින්දු,"(න) තෙල් බින්දුව."
සිනෙහිත,"(ති) ලෝභ, ගිජු, මසුරු, ආශාකරන."
සිනෙහෙති,"(න) ා තෙල් ගල්වයි; ස්නේහ කරයි."
සිනොති,"(ක්‍රි) (d) (කි) සි, බන්ධනෙ, බැදීමෙහි+ති) බඳියි."
සින්ත,"(ති) දහඩියෙන් තෙත්වූ."
සින්දි,"(ඉ) ඉදි, හිඳී."
සින්දී,"(ඉ) ඉඳි ගස."
සින්දුක,"(පු) නිකගස."
සින්දුර,"(න) සීනි පිටි."
සින්දුවාර,"(න) නික."
සින්දුවාර,"(පු) නික ගස."
සින්දූර,"(න) රත්සිරියල්."
සින්ධව,"(පු) අශ්වයා, ලුණු."
සින්ධව,"(පු) අශ්වයා; සවිඳ ලුණු; සින්ධු දේශයේ උපන්."
සින්ධව,"(පු) සින්ධු දේශයේ උපන් අශ්වයා."
සින්ධු,"(ඉ) එනම් නදිය."
සින්ධු,"(පු) එ) නම් දේශය, ඉන්දියා දේශය."
සින්ධු,"(පු) ගඟ; මුහුද; සාගරය."
සින්ධුරට්ඨ,"(න) සින්ධු දේශය."
සින්ධුසඞ්ගම,"(පු) ගංමෝය."
සින්ධුසඞ්ගම,"(පු) නදීසමුද්‍ර‍ දෙදෙනාගේ සඞ්ගම ස්ථානය, නදිය සමුද්‍ර‍යට වැටෙන තැන, මෝය."
සින්ධූර,"(න) සහිඳ ලුණු."
සිපාටිකා,"(ඉ) එක පාටින් යුත් වහන (සෙරෙප්පු)"
සිපාටිකා,"(ඉ) කොපුව (දැළි පිහියා දමන); මල් කොපුව."
සිප්ප,"(න) කර්මාන්තය; චිත්‍රශිල්ප ධනුශිල්පාදිය; ශිල්පය."
සිප්ප,"(න) ශිල්පය."
සිප්පක,"(න) ශිල්පය, කර්‍මාන්තය."
සිප්පට්ඨාන,"(න) ශිල්ප කොටස."
සිප්පට්ඨාන,"(න) ශිල්පස්ථානය, ශිල්ප පුහුණු වන තැන."
සිප්පසාලා,"(ඉ) ශිල්ප උගන්වන තැන."
සිප්පසාලා,"(ඉ) ශිල්පශාලාව, කම්මල් ආදිය."
සිප්පායතන,"(න) එක් ශිල්පයක්."
සිප්පි,"(පු) ශිල්පීහු, ශිල්පදත්තහු."
සිප්පික,"(පු) ශිල්පියා, ශිල්පඥයා."
"සිප්පික ","(3) ශිල්ප දන්නා; ශිල්පියා."
සිප්පිකා,"(ඉ) මුතු බෙල්ලා."
සිප්පී,"(ඉ) බෙල්ලා, සිප්පි බෙල්ලා."
"සිප්පී ","(3) ශිල්ප දන්නා; ශිල්පියා; (ඉ) මුතු බෙල්ලා."
සිඵා,"(ඉ) අරළු, හරිතකී."
සිබී,"(පු) මොනරා, ගින්න."
සිබ්බ,"(න) හිස්කබලේ මූට්ටුව."
සිබ්බති,"(ක්‍රි) (d (දි) සිවු, සිබ්බනෙ, මැසීමෙහි+ති) හිවයි, මහයි."
සිබ්බති,"(සිවු+ය) මසයි."
සිබ්බන,"(න) මැහීම."
සිබ්බන,"(න) මැහීම."
සිබ්බනී,"(ඉ) ඉදිකටුව, මහන්නී, තෘෂ්ණාව."
සිබ්බනී,"(ඉ) මැස්ම; මැහුම; හිස් කබලේ පූට්ටුව."
සිබ්බනීමග්ග,"(පු) මැහුම් පාර."
"සිබ්බාපයමාන ","(3) මස්සවන; මස්සවමින්."
සිබ්බාපෙති,"(සිවු+ණාපෙ) මස්වයි."
සිබ්බාපෙත්වා,"(පූ.ක්‍රි) මස්සවා."
"සිබ්බාපෙන්ත ","(3) මස්සවන; මස්සවමින්."
සිබ්බිත,"(ති) මහනලද, මැහූ."
"සිබ්බිත ","(3) මහන ලද; මැසූ."
සිබ්බිතුං,"(නි) මහන්ට."
සිබ්බිත්වා,"(පූ.ක්‍රි) මසා; මහලා."
සිබ්බිනී,"(ඉ) ඉදිකටුව, මහන්නී, තණ්හාව."
සිබ්බිය,"(පූ.ක්‍රි) මසා; මහලා."
සිබ්බෙති,"(සිවු+ණෙ) මහයි."
සිබ්බෙතුං,"(නි) මහන්ට."
සිබ්බෙත්වා,"(පූ.ක්‍රි) මසා; මහලා."
"සිබ්බෙන්ත ","(3) මහන; මහමින්."
සිභට්ඨායී,"(පු) යස හා කීර්තියෙන් යුත් තැනැත්තා."
සිම්බලි,"(පු) - (ඉ) ඉඹුල් රුක."
සිම්බලී,"(පු) ඉඹුල් ගස; පලුන් ගස."
සිම්බලීවන,"(න) ඉඹුල් කැලය."
සිම්බලීවන,"(න) ඉඹුල් වනය."
සියා,"(ක්‍රි) (d) (භු) දිස, භුවි, වීමෙහි, අස+සියා ආ) වන්නේය."
සියුං,"(ක්‍රි) (d) (භු) දිස, භූවි, වීමෙහි දිස+සියුං ආදේශ) වන්නාහුය."
සිර,"(පු) - (න) ශ්‍රේෂ්ඨ, මුදුන."
සිර,"(පු) (න) හිස."
